sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
"We cared for a patient with progressive renal impairment who presented with blurred vision, QRS broadening and cardiac failure due to chronic cibenzoline intoxication.",cibenzoline,142,153,QRS broadening,92,106
Indolent aspergillus arthritis complicating fludarabine-based non-myeloablative stem cell transplantation.,fludarabine,44,55,aspergillus arthritis,9,30
We describe two patients with aspergillus arthritis of the knee joint following fludarabine-based non-myeloablative stem cell transplantation.,fludarabine,80,91,aspergillus arthritis of the knee joint,30,69
CONCLUSION: The present findings suggest that fluvoxamine can cause increased libido in some patients.,fluvoxamine,46,57,increased libido,68,84
Increased libido in a woman treated with fluvoxamine: a case report.,fluvoxamine,41,52,Increased libido,0,16
OBJECTIVE: The aim of this paper is to describe a case of increased libido during fluvoxamine therapy.,fluvoxamine,82,93,increased libido,58,74
"RESULTS: The patient, a 27-year-old married Japanese woman with borderline personality disorder, developed an increased libido with the administration of fluvoxamine.",fluvoxamine,154,165,increased libido,110,126
The increased libido disappeared after fluvoxamine was discontinued.,fluvoxamine,39,50,increased libido,4,20
An infant who developed pancreatitis during meglumine antimoniate treatment for visceral leishmaniasis and who was successfully treated with a combination of allopurinol and ketoconazole is reported.,meglumine antimoniate,44,65,pancreatitis,24,36
Successful treatment of visceral leishmaniasis with allopurinol plus ketoconazole in an infant who developed pancreatitis caused by meglumine antimoniate.,meglumine antimoniate,132,153,pancreatitis,109,121
CONCLUSIONS: This case report showed that the clinical appearance of Hashimoto's disease after IFN-alpha therapy for chronic C hepatitis in our patient was associated with a specific genetic predisposition (DR5) for this pathology.,IFN-alpha,95,104,Hashimoto's disease,69,88
"Further studies are necessary to evaluate whether the study of HLA antigens may be a very useful tool to detect the patients with a predisposition to develop autoimmune thyroiditis, in order to make a early diagnosis of thyroid disorders during the IFN-alpha treatment.",IFN-alpha,249,258,autoimmune thyroiditis,158,180
"Further studies are necessary to evaluate whether the study of HLA antigens may be a very useful tool to detect the patients with a predisposition to develop autoimmune thyroiditis, in order to make a early diagnosis of thyroid disorders during the IFN-alpha treatment.",IFN-alpha,249,258,thyroid disorders,220,237
Hashimoto's disease during interferon-alpha therapy in a patient with pre-treatment negative anti-thyroid autoantibodies and with the specific genetic susceptibility to the thyroid disease.,interferon-alpha,27,43,Hashimoto's disease,0,19
OBJECTIVES: The authors described a case of Hashimoto's disease during interferon-alpha (IFN-alpha) treatment for chronic viral C hepatitis in a patient with the specific genetic susceptibility associated with the thyroid disease.,IFN-alpha,89,98,Hashimoto's disease,44,63
OBJECTIVES: The authors described a case of Hashimoto's disease during interferon-alpha (IFN-alpha) treatment for chronic viral C hepatitis in a patient with the specific genetic susceptibility associated with the thyroid disease.,interferon-alpha,71,87,Hashimoto's disease,44,63
"During dose-finding studies for intravenous proton pump inhibitors omeprazole and pantoprazole, three of six young female volunteers receiving omeprazole and two young female volunteers receiving pantoprazole developed peripheral edema within 8 hr when high doses of the proton pump inhibitors were applied by continuous infusion together with large volumes of fluid.",omeprazole,67,77,peripheral edema,219,235
"During dose-finding studies for intravenous proton pump inhibitors omeprazole and pantoprazole, three of six young female volunteers receiving omeprazole and two young female volunteers receiving pantoprazole developed peripheral edema within 8 hr when high doses of the proton pump inhibitors were applied by continuous infusion together with large volumes of fluid.",pantoprazole,82,94,peripheral edema,219,235
"Pheripheral edema was observed in five female patients after taking proton pump inhibitors omeprazole, lansoprazole, or pantoprazole for 7-15 days for peptic acid diseases in recommended standard doses.",lansoprazole,103,115,Pheripheral edema,0,17
"Pheripheral edema was observed in five female patients after taking proton pump inhibitors omeprazole, lansoprazole, or pantoprazole for 7-15 days for peptic acid diseases in recommended standard doses.",omeprazole,91,101,Pheripheral edema,0,17
"Pheripheral edema was observed in five female patients after taking proton pump inhibitors omeprazole, lansoprazole, or pantoprazole for 7-15 days for peptic acid diseases in recommended standard doses.",pantoprazole,120,132,Pheripheral edema,0,17
"Motor fluctuations appear after 2-3 years of levodopa treatment, and affect at least 50% of patients after five years.",levodopa,45,53,Motor fluctuations,0,18
CONCLUSION: Significant weight loss is a potential adverse event in patients with rheumatoid arthritis treated with leflunomide.,leflunomide,116,127,weight loss,24,35
Leflunomide-associated weight loss in rheumatoid arthritis.,Leflunomide,0,11,weight loss,23,34
METHODS: We queried 35 rheumatologists at the Robert Breck Brigham Arthritis Center to determine if weight loss had occurred as an adverse event in patients treated with leflunomide between November 1998 and January 2000.,leflunomide,170,181,weight loss,100,111
OBJECTIVE: To determine the frequency of weight loss in patients treated with leflunomide for rheumatoid arthritis at an arthritis referral center.,leflunomide,78,89,weight loss,41,52
RESULTS: Five of 70 patients who had begun leflunomide therapy had significant weight loss that could not be linked to other identifiable etiologies.,leflunomide,43,54,weight loss,79,90
It is increasingly recognized that dose adjustment of oral valacyclovir in renal failure is necessary to avoid neurotoxicity.,valacyclovir,59,71,neurotoxicity,111,124
Neurotoxicity of valacyclovir in peritoneal dialysis: a pharmacokinetic study.,valacyclovir,17,29,Neurotoxicity,0,13
She developed neurotoxicity with an adjustment dosage of valacyclovir for a cutaneous zoster infection.,valacyclovir,57,69,neurotoxicity,14,27
Avascular necrosis of the femoral head in patients with prostate cancer treated with cyproterone acetate and radiotherapy.,cyproterone acetate,85,104,Avascular necrosis of the femoral head,0,38
"We report the case histories of two patients with histologically confirmed adenocarcinoma of the prostate, both of whom had been treated with steroidal anti-androgen therapy in the form of cyproterone acetate prior to radical or palliative pelvic irradiation, and who subsequently developed femoral head avascular necrosis.",cyproterone acetate,189,208,femoral head avascular necrosis,291,322
Levofloxacin induced polymorphic ventricular tachycardia with normal QT interval.,Levofloxacin,0,12,polymorphic ventricular tachycardia,21,56
We report the first case of polymorphic ventricular tachycardia with normal QT interval associated with the oral use of levofloxacin in the absence of other etiologies known to cause these arrhythmias.,levofloxacin,120,132,polymorphic ventricular tachycardia,28,63
"So far, few cases of pulmonary side effects caused by ticlopidine have been reported.",ticlopidine,54,65,pulmonary side effects,21,43
Special care should be taken when pulmonary symptoms appear in association with ticlopidine treatment.,ticlopidine,80,91,pulmonary symptoms,34,52
Ticlopidine-induced interstitial pulmonary disease: a case report.,Ticlopidine,0,11,interstitial pulmonary disease,20,50
We report a case of interstitial pulmonary disease that occurred together with lymphocytic colitis during treatment with ticlopidine.,ticlopidine,121,132,interstitial pulmonary disease,20,50
We report a case of interstitial pulmonary disease that occurred together with lymphocytic colitis during treatment with ticlopidine.,ticlopidine,121,132,lymphocytic colitis,79,98
A patient that received methadone for cancer-associated pain developed myoclonus as a side effect.,methadone,24,33,myoclonus,71,80
Methadone-induced myoclonus in advanced cancer.,Methadone,0,9,myoclonus,18,27
OBJECTIVE: To report a case of fatal hyperkalemia owing to succinylcholine administration in a patient with mucositis secondary to chemotherapy.,succinylcholine,59,74,fatal hyperkalemia,31,49
Succinylcholine-induced hyperkalemia in a patient with mucositis secondary to chemotherapy.,Succinylcholine,0,15,hyperkalemia,24,36
"We believe that mucositis was a contributing factor to this case of fatal hyperkalemia after administration of succinylcholine, with a mechanism similar to that reported with thermal injury.",succinylcholine,111,126,fatal hyperkalemia,68,86
Cutaneous seeding after ultrasound-guided percutaneous ethanol injection for treatment of hepatocellular carcinoma.,ethanol injection,55,72,Cutaneous seeding,0,17
We describe a case of needle-track cutaneous seeding of hepatocellular carcinoma (HCC) after sonographically guided percutaneous ethanol injection (PEI).,ethanol injection,129,146,cutaneous seeding,35,52
Adenosine-induced ventricular fibrillation.,Adenosine,0,9,ventricular fibrillation,18,42
"However, adenosine shortens the antegrade refractoriness of accessory atrioventricular connections and may cause acceleration of the ventricular rate during atrial fibrillation.",adenosine,9,18,acceleration of the ventricular rate,113,149
We observed ventricular fibrillation in 2 patients who presented to the emergency department with pre-excited atrial fibrillation and were given 12 mg of adenosine.,adenosine,154,163,ventricular fibrillation,12,36
"After the dose of methylprednisolone was reduced from 40 mg to 20 mg i.v. q6h and shifted to other anti-asthma treatment by procaterol metered dose inhaler via spacer, the psychotic reaction disappeared a few hours later.",methylprednisolone,18,36,psychotic reaction,172,190
"Continuous EEG monitoring is helpful in managing seizures that occur as a complication of CBZ OD, after the course of recovery or worsening, and in providing assistance with prognosis.",CBZ,90,93,seizures,49,57
"Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.",CBZ,8,11,cortical hyperexcitability,69,95
"Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.",CBZ,8,11,cranial nerve areflexia,143,166
"Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.",CBZ,8,11,profound burst-suppression EEG pattern,99,137
"Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.",CBZ,8,11,reversible encephalopathy,29,54
Massive plasmocytosis due to methimazole-induced bone marrow toxicity.,methimazole,29,40,bone marrow toxicity,49,69
Massive plasmocytosis due to methimazole-induced bone marrow toxicity.,methimazole,29,40,Massive plasmocytosis,0,21
"To our knowledge this is the first report of pancytopenia due to MMI, where the usual hypoplasia found is replaced by massive plasmocytosis.",MMI,65,68,massive plasmocytosis,118,139
"To our knowledge this is the first report of pancytopenia due to MMI, where the usual hypoplasia found is replaced by massive plasmocytosis.",MMI,65,68,pancytopenia,45,57
"We report a case of fulminant hepatic failure associated with didanosine and masquerading as a surgical abdomen and compare the clinical, biologic, histologic, and ultrastructural findings with reports described previously.",didanosine,62,72,fulminant hepatic failure,20,45
This report details a case of bilateral avascular necrosis of the femoral heads in a patient receiving 'standard' doses of dexamethasone as part of the antiemetic regimen used in cisplatin-based combination chemotherapy.,dexamethasone,123,136,bilateral avascular necrosis of the femoral heads,30,79
"Although no coagulation study was done and the Meckel's diverticulum is normally associated with bleeding, the particular intensity of the following hemorrhage may have been favored by metformin.",metformin,185,194,hemorrhage,149,159
"An obese patient, not diabetic, treated with metformin for some weeks, was referred to us with severe inferior digestive hemorrhage, diagnosed with Meckel's diverticulum.",metformin,45,54,severe inferior digestive hemorrhage,95,131
Digestive hemorrhage caused by a Meckel's diverticulum in a metformin-treated patient: is there any connection?,metformin,60,69,Digestive hemorrhage,0,20
Ulcer became worse after tobramycin and gentamycin treatment for 2 days.,gentamycin,40,50,Ulcer became worse,0,18
Ulcer became worse after tobramycin and gentamycin treatment for 2 days.,tobramycin,25,35,Ulcer became worse,0,18
Possible linkage of amprenavir with intracranial bleeding in an HIV-infected hemophiliac.,amprenavir,20,30,intracranial bleeding,36,57
The bleeding resolved on discontinuation of APV.,APV,44,47,bleeding,4,12
We report the occurrence of spontaneous intracranial bleeding in an human immunodeficiency virus (HIV)-infected adolescent with hemophilia A who was receiving amprenavir (APV).,amprenavir,159,169,intracranial bleeding,40,61
"According to the Naranjo probability scale, the relationship of gemcitabine treatment with cutaneous eruption in our patient is possible.",gemcitabine,64,75,cutaneous eruption,91,109
CONCLUSIONS: We report the first case of gemcitabine-induced LABD.,gemcitabine,41,52,LABD,61,65
Linear immunoglobulin A bullous dermatosis induced by gemcitabine.,gemcitabine,54,65,Linear immunoglobulin A bullous dermatosis,0,42
OBJECTIVE: To report a case of linear immunoglobulin (Ig) A bullous dermatosis (LABD) induced by gemcitabine.,gemcitabine,97,108,LABD,80,84
"Twenty-four hours after the administration of gemcitabine, a symmetric, bullous, herpetiform eruption appeared on his trunk and upper limbs.",gemcitabine,46,57,"symmetric, bullous, herpetiform eruption",61,101
"Vancomycin is the most frequently implicated drug, but other agents have been reported to cause LABD.",Vancomycin,0,10,LABD,96,100
"Although taxol has shown significant activity in advanced ovarian cancer, peripheral neuropathy is likely to become the major dose-limiting toxicity.",taxol,9,14,peripheral neuropathy,74,95
A rare case of advanced ovarian carcinoma who developed difficulty walking 25 days after treatment with weekly paclitaxel.,paclitaxel,111,121,difficulty walking,56,74
We describe a case of advanced ovarian carcinoma who developed difficulty walking because of marked pain in the lower extremities and loss of proprioception 25 days after treatment with weekly taxol (80 mg/m(2)x3).,taxol,193,198,difficulty walking,63,81
We describe a case of advanced ovarian carcinoma who developed difficulty walking because of marked pain in the lower extremities and loss of proprioception 25 days after treatment with weekly taxol (80 mg/m(2)x3).,taxol,193,198,loss of proprioception,134,156
We describe a case of advanced ovarian carcinoma who developed difficulty walking because of marked pain in the lower extremities and loss of proprioception 25 days after treatment with weekly taxol (80 mg/m(2)x3).,taxol,193,198,marked pain,93,104
Relief by naloxone of morphine-induced spasm of the sphincter of Oddi in a post-cholecystectomy patient.,morphine,22,30,spasm,39,44
"We present the case of a patient who had undergone cholecystectomy previously, but in whom morphine given in the Emergency Department precipitated pain consistent with biliary colic; the pain resolved promptly after administration of naloxone.",morphine,91,99,biliary colic,168,181
"We present the case of a patient who had undergone cholecystectomy previously, but in whom morphine given in the Emergency Department precipitated pain consistent with biliary colic; the pain resolved promptly after administration of naloxone.",morphine,91,99,pain,147,151
Myasthenia gravis during low-dose IFN-alpha therapy for chronic hepatitis C.,IFN-alpha,34,43,Myasthenia gravis,0,17
A patient with rheumatoid arthritis developed an acute intrahepatic cholestasis after 100 mg of sodium aurothiomalate.,sodium aurothiomalate,96,117,intrahepatic cholestasis,55,79
Acute lung injury associated with 5-fluorouracil and oxaliplatinum combined chemotherapy.,5-fluorouracil,34,48,Acute lung injury,0,17
Acute lung injury associated with 5-fluorouracil and oxaliplatinum combined chemotherapy.,oxaliplatinum,53,66,Acute lung injury,0,17
"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.",5-fluorouracil,147,161,bilateral patchy pulmonary infiltrates,34,72
"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.",oxaliplatinum,129,142,bilateral patchy pulmonary infiltrates,34,72
"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.",5-fluorouracil,147,161,Diarrhoea,0,9
"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.",oxaliplatinum,129,142,Diarrhoea,0,9
"It is concluded that the aforementioned pathological manifestations were due to chemotherapy and included a pulmonary adverse reaction, a feature never previously associated with oxaliplatinum and 5-fluorouracil regimens.",5-fluorouracil,197,211,pulmonary adverse reaction,108,134
"It is concluded that the aforementioned pathological manifestations were due to chemotherapy and included a pulmonary adverse reaction, a feature never previously associated with oxaliplatinum and 5-fluorouracil regimens.",oxaliplatinum,179,192,pulmonary adverse reaction,108,134
"BACKGROUND: Accutane a teratogenic prescription drug licensed to treat severe, recalcitrant nodular acne.",Accutane,12,20,teratogenic,23,34
"RESULTS: The estimated number of Accutane prescriptions for reproductive-aged women has more than doubled in the past 10 years; it is the most widely used teratogenic drug in the United States, with approximately 2.5 per 1,000 reproductive-aged women exposed to Accutane in 1999.",Accutane,33,41,teratogenic,155,166
A 62-year-old woman treated with pranlukast for 2 months developed interstitial pneumonitis with a high fever.,pranlukast,33,43,high fever,99,109
A 62-year-old woman treated with pranlukast for 2 months developed interstitial pneumonitis with a high fever.,pranlukast,33,43,interstitial pneumonitis,67,91
"Acute interstitial pneumonia induced by ONO-1078 (pranlukast), a leukotriene receptor antagonist.",ONO-1078,40,48,interstitial pneumonia,6,28
"Acute interstitial pneumonia induced by ONO-1078 (pranlukast), a leukotriene receptor antagonist.",pranlukast,50,60,interstitial pneumonia,6,28
An asymptomatic HIV-infected woman experienced right-sided renal colicky pain during treatment with indinavir.,indinavir,100,109,renal colicky pain,59,77
Indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient.,Indinavir,0,9,interstitial nephritis,49,71
Indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient.,Indinavir,0,9,nephrolithiasis,21,36
Papillary necrosis associated with the HIV protease inhibitor indinavir.,indinavir,62,71,Papillary necrosis,0,18
Physicians should be aware that indinavir nephrolithiasis may cause papillary necrosis.,indinavir,32,41,nephrolithiasis,42,57
Physicians should be aware that indinavir nephrolithiasis may cause papillary necrosis.,indinavir,32,41,papillary necrosis,68,86
The HIV protease inhibitor indinavir may cause nephrolithiasis and interstitial nephritis.,indinavir,27,36,interstitial nephritis,67,89
The HIV protease inhibitor indinavir may cause nephrolithiasis and interstitial nephritis.,indinavir,27,36,nephrolithiasis,47,62
The renal consequences of indinavir-associated nephrotoxicity are uncertain.,indinavir,26,35,nephrotoxicity,47,61
We report a case of papillary necrosis in a patient treated with indinavir.,indinavir,65,74,papillary necrosis,20,38
"We describe 2 male patients, a 49-year-old with psoriatic arthritis and impaired renal function and a 43-year-old renal transplant recipient, who both sustained a marked decline in glomerular filtration rate in conjunction with a selective inhibitor of cyclooxygenase-2 (COX-2), rofecoxib.",rofecoxib,279,288,decline in glomerular filtration rate,170,207
"CONCLUSIONS: LTG overdose may result in a severe but reversible encephalopathy, a previously undescribed phenomenon.",LTG,13,16,encephalopathy,64,78
Evaluation revealed elevated serum LTG levels and no other etiology for encephalopathy.,LTG,35,38,elevated serum LTG levels,20,45
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.,lamotrigine,66,77,stuporous,36,45
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.,LTG,79,82,stuporous,36,45
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.,valproic acid,88,101,stuporous,36,45
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.,VPA,103,106,stuporous,36,45
PURPOSE: To report that acute lamotrigine poisoning may result in severe encephalopathy.,lamotrigine,30,41,encephalopathy,73,87
Stupor from lamotrigine toxicity.,lamotrigine,12,23,Stupor,0,6
"The cause of death was determined to be acute intoxication by olanzapine, and the manner of death was accidental.",olanzapine,62,72,acute intoxication,40,58
This article describes the case of a 25-year-old man found dead at home who had been prescribed olanzapine for schizophrenia.,olanzapine,96,106,dead,59,63
Lichenoid drug eruption to salsalate.,salsalate,27,36,Lichenoid drug eruption,0,23
"This eruption emerged after 1 month of therapy with salsalate, persisted for as long as salsalate was administered, and cleared within 3 weeks of discontinuing the medication.",salsalate,52,61,eruption,5,13
We describe a patient who experienced a lichenoid eruption after the initiation of salsalate for relief of arthritic pain.,salsalate,83,92,lichenoid eruption,40,58
Amphotericin B-induced seizures in a patient with AIDS.,Amphotericin B,0,14,seizures,23,31
"CASE SUMMARY: A 46-year-old African-American man experienced recurrent grand mal seizures during intravenous infusion of amphotericin B, then petit mal seizures as the infusion was stopped and the drug concentrations decreased with time.",amphotericin B,121,135,grand mal seizures,71,89
CONCLUSIONS: Amphotericin B seems to be the probable cause of the seizures.,Amphotericin B,13,27,seizures,66,74
"Despite administration of phenytoin and lorazepam, the seizures persisted and occurred only during amphotercin B administration.",amphotercin B,99,112,seizures,55,63
Didanosine also has a potential for inducing seizures.,Didanosine,0,10,seizures,45,53
OBJECTIVE: To report a case of multiple episodes of seizure activity in an AIDS patent following amphotericin B infusion.,amphotericin B,97,111,seizure,52,59
The time course of events suggested that amphotericin B was the cause of the seizures in this AIDS patient.,amphotericin B,41,55,seizures,77,85
"To date, only three cases of seizures associated with amphotericin B have been reported in the literature, but healthcare providers should be aware of the potential for this rare adverse effect.",amphotericin B,54,68,seizures,29,37
Vocal cord paralysis as a consequence of peritonsillar infiltration with bupivacaine.,bupivacaine,73,84,Vocal cord paralysis,0,20
We present the case of a 5-year-old girl who developed bilateral vocal cord paralysis following preoperative peritonsillar bupivacaine infiltration.,bupivacaine,123,134,bilateral vocal cord paralysis,55,85
A 53 year old Greenlandic male was admitted twice over a period of 4 years with a new complete right bundle branch block after ingestion of 10 g and 4 g of carbamazepine respectively.,carbamazepine,156,169,right bundle branch block,95,120
Carbamazepine induced right bundle branch block in a Greenlandic patient.,Carbamazepine,0,13,right bundle branch block,22,47
Cicatricial entropion associated with chronic dipivefrin application.,dipivefrin,46,56,Cicatricial entropion,0,21
CONCLUSIONS: Cicatrization in the substantia propria of the conjunctiva by excessive lymphocytic infiltration after topically administered antiglaucoma drugs including dipivefrin is a possible mechanism of action for entropion.,dipivefrin,168,178,entropion,217,226
"Nine eyes from 6 patients, 74 years to 90 years of age, referred by ophthalmologists for repair of cicatricial entropion after at least 2 years of twice-a-day application of dipivefrin.",dipivefrin,174,184,cicatricial entropion,99,120
PURPOSE: To report patients who presented to the oculoplastics department for repair of cicatrical entropion after topical use of dipivefrin.,dipivefrin,130,140,cicatrical entropion,88,108
"A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.",sulphasalazine,144,158,constellation of dermatitis,31,58
"A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.",sulphasalazine,144,158,fever,60,65
"A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.",sulphasalazine,144,158,hepatitis,87,96
"A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.",sulphasalazine,144,158,lymphadenopathy,67,82
"It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.",sulphasalazine,125,139,fatal,169,174
"It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.",sulphasalazine,125,139,fatal,169,174
"It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.",sulphasalazine,125,139,immunoallergic reaction,176,199
"It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.",sulphasalazine,125,139,immunoallergic reaction,176,199
"It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.",sulphasalazine,125,139,sulphasalazine syndrome,125,148
"It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.",sulphasalazine,125,139,sulphasalazine syndrome,125,148
The 3-week sulphasalazine syndrome strikes again.,sulphasalazine,11,25,sulphasalazine syndrome,11,34
"Interestingly, the use of carboplatin (CBDCA) and VDS in the subsequent treatment course was well tolerated indicating that the SIADH was most likely to have been induced by administration of CDDP.",CDDP,192,196,SIADH,128,133
Syndrome of inappropriate secretion of ADH (SIADH) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion.,cisplatin,61,70,SIADH,44,49
Syndrome of inappropriate secretion of ADH (SIADH) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion.,cisplatin,61,70,Syndrome of inappropriate secretion of ADH,0,42
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,CDDP,185,189,SIADH,130,135
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,cisplatin,174,183,SIADH,130,135
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,VDS,206,209,SIADH,130,135
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,vindesine,195,204,SIADH,130,135
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,CDDP,185,189,syndrome of inappropriate secretion of antidiuretic hormone,69,128
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,cisplatin,174,183,syndrome of inappropriate secretion of antidiuretic hormone,69,128
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,VDS,206,209,syndrome of inappropriate secretion of antidiuretic hormone,69,128
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,vindesine,195,204,syndrome of inappropriate secretion of antidiuretic hormone,69,128
"After extensive neurological 'work up', we realized that the anisocoria was related to the transdermal scopolamine patch that we had prescribed for weaning off the opioid.",scopolamine,103,114,anisocoria,61,71
Anisocoria from transdermal scopolamine.,scopolamine,28,39,Anisocoria,0,10
De novo absence status of late onset following withdrawal of lorazepam: a case report.,lorazepam,61,70,De novo absence status,0,22
The aim of this report is to describe the clinical and electroencephalographic findings seen in an elderly woman without previous history of seizures who developed a nonconvulsive generalized status epilepticus following acute withdrawal of lorazepam.,lorazepam,241,250,nonconvulsive generalized status epilepticus,166,210
Early recognition of hereditary motor and sensory neuropathy type 1 can avoid life-threatening vincristine neurotoxicity.,vincristine,95,106,life-threatening vincristine neurotoxicity,78,120
"Recognizing early signs of HMSN, such as areflexia and pes cavus deformity, can prevent severe neurotoxicity of polychemotherapy by avoiding vincristine.",vincristine,141,152,severe neurotoxicity,88,108
The disease predisposes to severe vincristine neurotoxicity.,vincristine,34,45,vincristine neurotoxicity,34,59
We report a 31-year-old women with recurrent Hodgkin's lymphoma and unrecognized HMSN-1 who developed severe motor neuropathy 3 weeks after the first cycle of treatment including 2 mg of vincristine.,vincristine,187,198,severe motor neuropathy,102,125
Acute asymptomatic hepatitis in a healthy normal volunteer exposed to 2 oral doses of amodiaquine and artesunate.,amodiaquine,86,97,asymptomatic hepatitis,6,28
Acute asymptomatic hepatitis in a healthy normal volunteer exposed to 2 oral doses of amodiaquine and artesunate.,artesunate,102,112,asymptomatic hepatitis,6,28
This report describes an unexpected drug-induced hepatitis in a previously healthy young woman exposed to 2 doses of amodiaquine and artesunate.,amodiaquine,117,128,hepatitis,49,58
This report describes an unexpected drug-induced hepatitis in a previously healthy young woman exposed to 2 doses of amodiaquine and artesunate.,artesunate,133,143,hepatitis,49,58
Systemic allergic contact dermatitis to 8-methoxypsoralen (8-MOP).,8-methoxypsoralen,40,57,Systemic allergic contact dermatitis,0,36
Systemic allergic contact dermatitis to 8-methoxypsoralen (8-MOP).,8-MOP,59,64,Systemic allergic contact dermatitis,0,36
We describe a patient who had a systemic allergic contact dermatitis to 8-MOP develop during her second course of PUVA treatment for psoriasis.,8-MOP,72,77,systemic allergic contact dermatitis,32,68
"A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention.",benztropine,49,60,abdominal pain,121,135
